Robot id	First discovery time	First information time
1	0	1528
2	6959	1791
3	275	43
4	0	731
5	3754	728
6	0	40
7	0	1844
8	37	37
9	0	1794
10	0	1534
11	0	731
12	0	1528
13	582	86
14	37	37
15	6925	1534
16	3549	722
17	0	892
18	0	1054
19	6789	895
20	37	37
21	1298	89
22	37	37
23	4265	1525
24	0	1866
25	5015	734
26	0	1522
27	0	1519
28	5425	1522
29	0	1522
30	0	725
