Robot id	First discovery time	First information time
1	0	93
2	0	89
3	0	306
4	0	182
5	0	93
6	0	195
7	0	114
8	0	83
9	0	725
10	0	74
11	0	77
12	6413	89
13	3583	93
14	0	111
15	0	89
16	0	102
17	2594	80
18	0	80
19	0	77
20	0	303
21	3515	77
22	0	192
23	0	74
24	0	688
25	0	725
26	71	71
27	0	722
28	0	80
29	0	651
30	0	117
