0 5118 3785 0.6 0.8 NaN 3344 5118 NaN 4743 NaN 3754 1810 1333 NaN
1 5710 3218 0.2 1.0 NaN NaN NaN NaN 4845 NaN NaN NaN NaN 2492
1 3078 2871 0.6 1.0 NaN NaN 207 NaN NaN 1128 5425 1298 3379 3549
1 486 449 0.4 1.0 NaN 37 37 NaN 173 NaN NaN 37 NaN NaN
1 6457 5909 0.2 1.0 NaN NaN 548 NaN NaN NaN 5493 NaN NaN NaN
1 3214 3177 0.7 1.0 NaN 5390 616 37 37 37 NaN 1094 NaN 6857
0 6413 6376 0.5 0.7 NaN NaN 6243 NaN NaN 37 4299 NaN 6413 1537
0 5669 5325 0.5 0.9 2253 1844 NaN 6720 NaN NaN 6243 NaN NaN 344
1 4845 4808 0.5 1.0 37 1469 4845 NaN 37 NaN 37 NaN NaN NaN
1 657 620 0.5 1.0 37 37 NaN 37 37 NaN 37 NaN NaN NaN
0 5189 4948 0.3 0.4 5356 NaN NaN NaN 4811 NaN 241 NaN NaN NaN
1 3521 3211 0.7 1.0 4606 3685 685 1401 3958 310 NaN NaN 1230 NaN
0 6147 5360 0.3 0.9 NaN 2560 4026 NaN NaN NaN 787 NaN NaN NaN
1 2740 2703 0.4 1.0 NaN 719 NaN NaN NaN NaN 37 NaN 6072 37
1 4572 4535 0.5 1.0 1844 2015 NaN NaN 4572 5356 37 NaN NaN NaN
0 7371 6959 0.3 0.9 NaN NaN NaN 6277 NaN 412 NaN NaN NaN 5015
1 2266 2229 0.5 1.0 NaN NaN NaN 6789 NaN 37 71 3754 NaN 37
1 1922 1885 0.3 1.0 NaN NaN NaN 957 NaN 37 1367 NaN NaN NaN
1 2821 2648 0.4 1.0 4129 NaN 616 NaN NaN NaN NaN NaN 173 1674
0 6045 6008 0.3 0.6 NaN NaN 37 NaN NaN 446 NaN NaN 4572 NaN
1 1680 1575 0.6 1.0 105 4708 NaN 3958 NaN 4061 NaN 889 NaN 310
0 2734 2254 0.6 0.8 480 NaN 685 NaN 651 1230 NaN NaN 2662 3072
1 3010 2700 0.7 1.0 4436 6823 310 1605 NaN 5049 5049 5254 NaN NaN
