1 1109 1072 0.5333333333333333 1.0 NaN NaN 412 NaN 1537 NaN 2526 37 719 3549 NaN 6584 NaN NaN 4947 NaN 855 NaN 71 71 2560 71 37 NaN NaN NaN NaN 412 37 NaN
1 1515 1478 0.4 1.0 NaN 37 NaN NaN 37 NaN NaN NaN NaN 71 310 NaN NaN NaN NaN NaN 4402 4163 4606 NaN 347 514 NaN NaN NaN NaN 415 37 3106 NaN
1 5313 1252 0.16666666666666666 1.0 NaN NaN 6789 NaN NaN NaN 4061 NaN 4061 NaN NaN 6550 NaN 4504 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1 6364 6327 0.3333333333333333 1.0 NaN 37 NaN NaN NaN NaN 3515 NaN 6038 3515 4231 NaN NaN 105 NaN 1230 NaN NaN NaN 7061 NaN 37 NaN NaN NaN 3447 NaN NaN NaN NaN
1 2021 1950 0.4 1.0 NaN NaN NaN NaN NaN NaN 71 NaN NaN 173 NaN 1264 1469 NaN NaN NaN NaN 685 855 NaN NaN NaN 2424 1810 2542 NaN 71 207 1128 NaN
1 930 893 0.5666666666666667 1.0 NaN NaN NaN 6004 2867 NaN 139 5800 37 5118 NaN 1810 NaN 37 207 37 NaN 37 NaN NaN 1503 3413 207 1708 NaN NaN 37 NaN NaN 923
1 1457 1420 0.36666666666666664 1.0 NaN NaN NaN 4367 NaN 4231 37 NaN 3140 NaN 6345 4947 446 NaN NaN NaN 6107 NaN 3617 NaN NaN 1060 NaN NaN 3924 NaN NaN NaN NaN NaN
1 998 961 0.4666666666666667 1.0 NaN NaN NaN NaN 37 821 NaN 2458 NaN 1367 412 NaN NaN 37 7130 3003 NaN NaN 1128 NaN NaN NaN NaN 37 71 NaN 4367 71 NaN 105
1 2067 2030 0.4666666666666667 1.0 NaN NaN NaN 310 254 201 NaN 37 NaN NaN 37 1264 NaN NaN 37 NaN 1912 NaN 384 NaN NaN NaN 37 NaN NaN 37 6141 NaN 1060 4470
1 2030 1993 0.3333333333333333 1.0 NaN NaN NaN NaN NaN NaN 5266 NaN NaN NaN 1943 NaN NaN 2507 992 NaN NaN 889 NaN 787 NaN 1990 NaN NaN NaN 37 NaN 855 NaN 2334
1 2610 2573 0.36666666666666664 1.0 NaN NaN 1776 1094 NaN NaN 6482 NaN NaN NaN NaN 480 NaN NaN NaN 5970 37 NaN 37 NaN NaN 1094 NaN NaN 37 NaN NaN NaN 37 6243
1 2263 2226 0.3 1.0 5049 NaN NaN NaN NaN 1742 NaN NaN 3174 4845 NaN NaN NaN 37 NaN NaN 2697 NaN NaN NaN NaN NaN NaN 1571 889 NaN NaN NaN NaN 1503
1 1776 1739 0.43333333333333335 1.0 37 NaN NaN 310 923 NaN 1094 NaN 139 3822 NaN NaN NaN NaN 37 412 NaN NaN NaN 1605 NaN 1230 NaN NaN 310 37 4522 NaN NaN NaN
1 3496 3221 0.4 1.0 7027 NaN 5936 NaN NaN 2458 NaN 4913 NaN 6175 275 NaN NaN 1435 NaN NaN 514 NaN NaN 4811 NaN NaN 2560 NaN 992 NaN NaN NaN 6925 NaN
1 1302 1265 0.43333333333333335 1.0 NaN 139 4061 2628 3552 NaN NaN NaN NaN NaN 173 NaN NaN NaN 663 NaN NaN NaN NaN 37 1708 NaN 1128 77 NaN 37 37 NaN 855 NaN
1 725 654 0.16666666666666666 1.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 6413 3583 NaN NaN NaN 2594 NaN NaN NaN 3515 NaN NaN NaN NaN 71 NaN NaN NaN NaN
1 6550 4229 0.26666666666666666 1.0 NaN NaN NaN 3003 NaN NaN NaN NaN NaN NaN NaN NaN 6516 NaN NaN NaN 4265 3310 3651 3583 NaN NaN 2321 NaN NaN NaN NaN NaN NaN 2969
1 1233 1196 0.4 1.0 5973 722 NaN 722 1435 NaN NaN NaN 37 NaN 5902 NaN NaN NaN 6550 NaN 685 4674 NaN NaN NaN NaN NaN NaN 5335 2117 NaN NaN NaN 3720
1 3710 3673 0.26666666666666666 1.0 6004 37 1912 616 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1026 NaN NaN NaN NaN NaN NaN NaN 1844 NaN 1674 NaN NaN NaN NaN 5595
1 1949 1912 0.43333333333333335 1.0 NaN 6107 NaN 139 3413 NaN NaN NaN 1128 6379 NaN NaN 719 NaN 6379 NaN NaN 37 NaN NaN 71 37 3685 37 NaN NaN NaN NaN 3788 NaN
1 2538 2501 0.4666666666666667 1.0 344 NaN 37 275 NaN NaN NaN NaN 37 NaN 7229 37 37 NaN 37 275 37 NaN 1943 NaN NaN NaN NaN NaN 37 173 378 NaN NaN NaN
1 1221 1184 0.6 1.0 NaN NaN 37 2594 3788 NaN 1639 4436 37 NaN 378 37 NaN NaN 5356 275 NaN 37 NaN NaN 275 NaN NaN 3754 NaN 5425 1026 37 4129 207
1 1137 1100 0.4 1.0 NaN 2222 347 790 NaN NaN NaN NaN NaN NaN 6178 NaN 3620 NaN 124 NaN NaN 37 483 NaN NaN NaN NaN NaN NaN 5601 6020 NaN 3143 6351
1 1147 1110 0.4666666666666667 1.0 2662 NaN 4947 719 NaN NaN 37 5015 37 NaN NaN NaN NaN NaN NaN NaN NaN 1094 4811 37 NaN NaN 1605 NaN NaN NaN 5595 5697 2833 1026
1 4557 4520 0.3333333333333333 1.0 NaN NaN NaN NaN NaN 37 1980 6618 NaN NaN NaN 3583 NaN 4538 NaN NaN NaN NaN 3447 NaN 310 NaN NaN NaN NaN NaN NaN 2628 2492 753
1 2731 2694 0.3333333333333333 1.0 923 NaN 2015 NaN NaN NaN NaN 37 NaN NaN NaN 4811 3958 2560 4095 NaN NaN NaN NaN NaN NaN NaN NaN NaN 3822 NaN NaN 923 NaN 855
1 3087 3050 0.36666666666666664 1.0 NaN NaN NaN NaN 5868 1605 NaN 6311 3481 2356 NaN 6345 NaN NaN NaN 3856 3856 NaN 37 NaN NaN NaN 1776 NaN 5356 NaN NaN NaN NaN NaN
1 1872 1835 0.5333333333333333 1.0 105 1925 NaN NaN NaN NaN NaN 71 NaN NaN 3890 NaN 2055 37 NaN 446 889 1128 37 NaN NaN NaN 71 105 2290 NaN 37 NaN 1230 37
1 4504 4467 0.3 1.0 37 3754 NaN 923 NaN NaN 616 NaN 1298 1264 NaN NaN NaN 2833 NaN 207 NaN NaN 344 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1 4284 3702 0.26666666666666666 1.0 6993 NaN NaN 3992 NaN NaN NaN NaN NaN NaN 7300 NaN NaN NaN NaN NaN NaN 582 NaN NaN 5663 5493 NaN NaN NaN NaN NaN 4504 6857 NaN
1 2613 2576 0.43333333333333335 1.0 7405 NaN NaN 37 37 NaN NaN NaN NaN 37 6187 37 480 NaN 5874 37 NaN 71 NaN NaN NaN NaN NaN NaN NaN 37 NaN 3822 1674 NaN
1 3670 3633 0.36666666666666664 1.0 NaN NaN NaN NaN 4708 NaN NaN NaN NaN 4681 NaN 3992 NaN 1980 1912 37 NaN 992 NaN NaN NaN 5161 NaN NaN NaN 71 37 957 NaN NaN
1 967 930 0.26666666666666666 1.0 37 NaN 4640 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 5192 NaN 4879 2015 NaN NaN NaN NaN NaN 37 NaN NaN NaN 6488 582 NaN
