1 1491 1454 0.8 1.0 37 1298 4947 37 4231 37 71 37 241 NaN 5049 NaN 37 3788 1060 37 37 NaN NaN 967
1 2554 2517 0.4 1.0 37 NaN 5118 NaN 2424 NaN NaN 1196 NaN NaN 957 NaN 6823 NaN NaN NaN NaN NaN 821 6618
1 6851 6814 0.25 1.0 NaN 5118 NaN NaN NaN 6993 NaN 37 NaN NaN NaN 5731 NaN NaN 37 NaN NaN NaN NaN NaN
1 2126 2089 0.5 1.0 3413 NaN 37 NaN NaN NaN 821 1605 NaN 548 NaN 37 NaN NaN 37 NaN 37 37 992 NaN
1 2504 2467 0.7 1.0 71 821 4095 4402 37 685 NaN 37 NaN 855 6584 NaN 6584 NaN 37 4026 37 173 NaN NaN
1 5580 5543 0.55 1.0 NaN 719 NaN 2253 855 105 NaN 787 NaN 37 344 NaN 1946 37 NaN NaN NaN 275 NaN 1639
1 511 474 0.35 1.0 310 NaN NaN 1878 NaN NaN NaN NaN NaN 5186 957 7232 NaN NaN NaN NaN NaN NaN 37 1162
1 1667 1630 0.5 1.0 1298 NaN 4674 NaN 37 1537 NaN 3515 NaN 37 NaN NaN NaN 37 37 NaN NaN NaN 37 4470
1 3335 3298 0.55 1.0 NaN NaN 3481 37 37 NaN NaN 5220 3481 NaN 37 NaN NaN NaN 2185 6175 651 NaN 1401 71
1 2284 2247 0.35 1.0 NaN 2799 NaN 3106 7402 NaN NaN NaN 37 NaN NaN NaN NaN NaN NaN NaN 1980 412 NaN 7198
1 3726 3689 0.3 1.0 NaN 412 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 616 241 37 NaN 7334 3896 NaN
1 2576 2539 0.65 1.0 NaN NaN NaN 37 4981 2492 37 NaN 37 5731 685 412 37 719 NaN 6448 37 1571 NaN NaN
1 2529 2492 0.45 1.0 37 37 37 2253 37 NaN 7027 3924 NaN NaN 37 855 NaN NaN NaN NaN NaN NaN NaN NaN
0 7164 4740 0.15 0.3 2424 3038 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 7164 NaN
1 3447 3410 0.6 1.0 37 4947 37 NaN 616 139 554 NaN NaN 4606 NaN 3379 37 NaN 37 NaN 37 NaN 7027 NaN
1 5753 5171 0.6 1.0 NaN 3140 7095 NaN 6141 NaN 821 787 5800 5868 NaN 2867 1162 NaN 6550 582 923 NaN NaN NaN
1 1342 1305 0.55 1.0 548 6107 1162 NaN 37 NaN NaN 4947 1571 NaN 37 NaN NaN NaN 7095 3720 37 NaN 5084 NaN
1 4901 4864 0.5 1.0 37 5868 NaN 37 NaN 1196 889 NaN NaN NaN 957 NaN NaN 1810 NaN 2185 NaN 1094 NaN 3685
1 3605 3500 0.15 1.0 NaN NaN NaN NaN NaN NaN 105 1844 NaN NaN NaN 3344 NaN NaN NaN NaN NaN NaN NaN NaN
1 300 263 0.45 1.0 37 37 37 37 NaN NaN NaN NaN 3140 NaN 37 NaN NaN NaN NaN NaN NaN 310 5220 37
1 1246 1209 0.65 1.0 1333 37 NaN 37 NaN 2424 NaN 37 7232 NaN 173 NaN NaN 37 139 NaN 3515 37 2151 105
1 2331 2294 0.4 1.0 5322 NaN NaN 514 37 37 NaN 855 NaN 37 NaN NaN NaN NaN 446 NaN NaN NaN NaN 4572
1 6159 6122 0.55 1.0 5015 3890 NaN 37 5356 NaN 3856 NaN NaN NaN 2151 7334 NaN NaN NaN NaN 4197 5561 2253 310
1 4795 4724 0.3 1.0 NaN NaN NaN NaN NaN NaN 5152 NaN 7130 71 NaN NaN 344 NaN NaN 1878 NaN NaN NaN 992
1 2641 2604 0.65 1.0 NaN 37 37 2151 NaN 71 71 4299 1946 NaN 37 7095 NaN 37 NaN 1298 1162 NaN NaN 719
1 2098 1993 0.35 1.0 4504 3992 NaN NaN NaN 105 207 NaN NaN NaN NaN 241 NaN 1264 NaN NaN NaN 889 NaN NaN
0 5642 4719 0.45 0.65 7095 2424 4197 NaN NaN NaN NaN 923 NaN NaN NaN NaN 6243 NaN NaN 5936 1878 3651 2321 NaN
1 2876 2839 0.45 1.0 NaN 2424 1094 3788 37 241 NaN NaN NaN 275 6959 NaN NaN NaN NaN NaN NaN 1912 37 NaN
1 6317 6280 0.35 1.0 7198 NaN NaN NaN 480 NaN NaN NaN NaN 1162 NaN NaN 2458 NaN 37 7232 NaN NaN NaN 37
1 2266 1991 0.45 1.0 NaN NaN 3583 NaN NaN 923 5697 NaN 275 NaN 1196 275 NaN NaN 344 NaN NaN 6413 787 NaN
1 1953 1916 0.4 1.0 139 NaN 37 37 NaN NaN 71 NaN NaN NaN 37 207 NaN 1912 NaN NaN NaN 1708 NaN NaN
1 2548 2511 0.35 1.0 NaN NaN NaN 37 NaN 105 37 3310 NaN NaN 207 NaN 71 NaN NaN NaN NaN NaN NaN 3379
1 2108 2071 0.45 1.0 NaN NaN NaN 37 2467 4504 NaN NaN NaN NaN NaN 207 753 5425 4402 NaN NaN 685 NaN 2526
1 5000 4963 0.55 1.0 753 7198 NaN 685 1571 37 NaN NaN 4129 NaN 6243 275 NaN NaN 105 NaN 105 NaN 37 NaN
1 1717 1680 0.55 1.0 37 NaN 1196 7402 NaN 71 NaN 2935 NaN NaN NaN 5049 NaN NaN 4095 105 37 NaN 37 213
1 1832 1795 0.7 1.0 NaN 5220 1537 37 5425 NaN 4061 NaN 855 NaN 173 923 NaN NaN 37 1264 241 37 2628 3276
1 1562 1525 0.55 1.0 NaN 2287 NaN 37 5118 2526 37 NaN 37 480 NaN 37 6857 NaN NaN NaN 4402 NaN 37 NaN
1 2337 2096 0.15 1.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 241 NaN NaN 3174 NaN NaN 4981 NaN NaN NaN
1 6252 6215 0.5 1.0 207 NaN NaN 6584 NaN NaN NaN 1776 207 NaN 1844 4538 37 NaN 1776 37 NaN 1639 NaN NaN
1 1007 970 0.5 1.0 NaN 5356 NaN NaN 1162 957 105 NaN 207 37 37 NaN NaN 1401 753 NaN NaN NaN 37 NaN
1 1546 1509 0.65 1.0 37 2117 2083 7164 NaN 6618 548 2185 NaN 2901 NaN 6652 821 NaN NaN 275 548 651 NaN NaN
1 4997 4960 0.35 1.0 NaN NaN 2117 3310 4913 37 NaN NaN 7334 NaN 651 NaN NaN NaN 7402 NaN NaN NaN NaN NaN
1 4681 4644 0.35 1.0 NaN NaN NaN 4879 1639 NaN NaN NaN NaN 787 NaN 139 37 NaN 5254 NaN NaN NaN 7402 NaN
1 1577 1540 0.45 1.0 1708 37 NaN NaN NaN 548 NaN 37 NaN 37 NaN 5015 NaN NaN 207 NaN 207 NaN NaN 105
1 4315 3323 0.3 1.0 1469 1060 NaN NaN NaN NaN 992 2049 NaN NaN NaN 3038 NaN NaN 2049 NaN NaN NaN NaN NaN
1 5530 5220 0.45 1.0 NaN 310 3344 NaN 889 NaN 5186 NaN NaN NaN NaN NaN 378 1742 NaN 6413 NaN 446 NaN 5118
1 2207 2136 0.3 1.0 NaN NaN NaN NaN 2731 NaN 71 NaN NaN NaN NaN NaN NaN 446 4913 NaN 241 NaN NaN 5049
1 5369 5332 0.4 1.0 NaN NaN NaN NaN 923 NaN 446 NaN NaN NaN NaN NaN 2151 4640 5390 1401 NaN 37 NaN 37
1 5886 5611 0.5 1.0 NaN 2935 3413 1367 NaN 6107 NaN NaN NaN NaN 5152 NaN 275 446 1401 NaN 1742 3174 NaN NaN
1 1466 1429 0.75 1.0 821 651 NaN 37 1367 5288 NaN 2458 2600 37 4981 NaN 7061 NaN NaN 7130 37 4231 2427 37
