Robot id	First discovery time	First information time
1	37	37
2	0	1246
3	0	46
4	2049	1336
5	3583	117
6	0	86
7	3890	114
8	0	43
9	0	527
10	0	114
11	5356	83
12	0	80
13	0	765
14	37	37
15	0	973
16	0	1249
17	0	564
18	71	71
19	37	37
20	344	145
