Robot id	First discovery time	First information time
1	4913	3518
2	548	548
3	37	37
4	3276	995
5	0	3146
6	7368	2393
7	2458	998
8	0	3143
9	0	486
10	37	37
11	3447	2170
12	105	105
13	0	2734
14	5731	2154
15	0	2678
16	7027	40
17	3344	2166
18	241	241
19	0	313
20	0	2163
