Robot id	First discovery time	First information time
1	0	703
2	37	37
3	37	37
4	0	114
5	0	728
6	0	313
7	2049	722
8	0	43
9	71	40
10	0	387
11	0	1484
12	0	424
13	0	387
14	37	37
15	0	1481
16	0	427
17	37	37
18	0	313
19	0	725
20	2287	725
