Robot id	First discovery time	First information time
1	0	979
2	2151	40
3	4913	2036
4	0	1212
5	0	461
6	6345	1283
7	37	37
8	2356	80
9	0	83
10	0	1112
11	2458	77
12	0	517
13	0	40
14	4197	83
15	4163	86
16	992	83
17	4743	86
18	0	99
19	446	86
20	0	86
