Robot id	First discovery time	First information time
1	0	694
2	0	43
3	2901	1785
4	71	40
5	0	1038
6	0	449
7	4845	2095
8	2969	279
9	37	37
10	5629	1140
11	0	213
12	0	1097
13	0	1174
14	0	43
15	2083	43
16	71	71
17	5356	1035
18	0	282
19	0	1137
20	0	449
