Robot id	First discovery time	First information time
1	0	124
2	0	111
3	6004	461
4	37	37
5	7095	117
6	0	124
7	1367	108
8	0	263
9	0	158
10	0	843
11	1435	155
12	0	269
13	2287	418
14	4470	1798
15	4640	120
16	3413	114
17	0	164
18	0	151
19	0	120
20	0	124
