Robot id	First discovery time	First information time
1	0	1701
2	0	1460
3	7368	158
4	0	74
5	37	37
6	0	1150
7	1026	158
8	1230	155
9	5425	161
10	923	158
11	0	151
12	0	2235
13	0	2272
14	3651	1109
15	6175	210
16	2560	148
17	0	77
18	0	1562
19	0	1112
20	0	1147
