Robot id	First discovery time	First information time
1	0	1100
2	6413	430
3	0	49
4	0	46
5	2049	1661
6	0	120
7	0	117
8	344	80
9	4163	1007
10	105	105
11	0	1103
12	957	120
13	0	43
14	855	486
15	105	77
16	37	37
17	0	40
18	480	43
19	105	74
20	0	1103
